epub	1.1.1	r"/"
notetxt	0.0.1	"^([A-Za-z0-9 -_:]+)\n-+\n"
nail	0.1.0-pre.0	r"^-?[0-9]+(\.[0-9]+)?([eE]-?[0-9]+)?$"
nail	0.1.0-pre.0	r"^-?[0-9]+$"
askalono	0.1.1	r"[^\w\s\pP]+"
askalono	0.1.1	r"[\r\n\v\f]"
askalono	0.1.1	r"\n{3,}"
askalono	0.1.1	r"(?x)[ \t\p{Zs} \\ / \| \x2044 ]+"
askalono	0.1.1	r"\p{Pd}+"
askalono	0.1.1	r"\p{Ps}+"
askalono	0.1.1	r"\p{Pe}+"
askalono	0.1.1	r"\p{Pc}+"
askalono	0.1.1	r"[©Ⓒⓒ]"
askalono	0.1.1	r"[^\w\s]+"
askalono	0.1.1	r"\s+"
assembunny_plus	0.0.3	r"[^0-9a-zA-Z_]"
assembunny_plus	0.0.3	r"[0-9]"
salt-compressor	0.4.0	r"(?m)^Minion (\S*) did not respond\. No job will be sent\.$"
sabisabi	0.4.1	r"</?[^>]+?>"
sabisabi	0.4.1	r"\([^)]*\)"
sassers	0.13.5-h28	"@import \"([^\"]*)\";"
shadowsocks	0.6.2	r"[A-Za-z\d-]{1,63}$"
shellwords	0.1.0	r"([^A-Za-z0-9_\-.,:/@\n])"
shellwords	0.1.0	r"\n"
shush	0.1.5	"(?P<num>[0-9]+)(?P<units>[dhms])"
woothee	0.8.0	r"(?:Chrome|CrMo|CriOS)/([.0-9]+)"
woothee	0.8.0	r"Vivaldi/([.0-9]+)"
woothee	0.8.0	r"Firefox/([.0-9]+)"
woothee	0.8.0	r"^Mozilla/[.0-9]+ \((?:Mobile|Tablet);(?:.*;)? rv:([.0-9]+)\) Gecko/[.0-9]+ Firefox/[.0-9]+$"
woothee	0.8.0	r"FxiOS/([.0-9]+)"
woothee	0.8.0	r"\(([^;)]+);FOMA;"
woothee	0.8.0	r"jig browser[^;]+; ([^);]+)"
woothee	0.8.0	r"(?i)rss(?:reader|bar|[-_ /;()]|[ +]*/)"
woothee	0.8.0	r"(?i)(?:bot|crawler|spider)(?:[-_ ./;@()]|$)"
woothee	0.8.0	r"(?i)(?:feed|web) ?parser"
woothee	0.8.0	r"(?i)watch ?dog"
woothee	0.8.0	r"Edge/([.0-9]+)"
woothee	0.8.0	r"MSIE ([.0-9]+);"
woothee	0.8.0	r"Version/([.0-9]+)"
woothee	0.8.0	r"Opera[/ ]([.0-9]+)"
woothee	0.8.0	r"OPR/([.0-9]+)"
woothee	0.8.0	r"Version/([.0-9]+)"
woothee	0.8.0	r"(?:SoftBank|Vodafone|J-PHONE)/[.0-9]+/([^ /;()]+)"
woothee	0.8.0	r"Trident/([.0-9]+);"
woothee	0.8.0	r" rv:([.0-9]+)"
woothee	0.8.0	r"IEMobile/([.0-9]+);"
woothee	0.8.0	r"(?:WILLCOM|DDIPOCKET);[^/]+/([^ /;()]+)"
woothee	0.8.0	r"Windows ([ .a-zA-Z0-9]+)[;\\)]"
woothee	0.8.0	r"^Phone(?: OS)? ([.0-9]+)"
woothee	0.8.0	r"iP(hone;|ad;|od) .*like Mac OS X"
woothee	0.8.0	r"Version/([.0-9]+)"
woothee	0.8.0	r"rv:(\d+\.\d+\.\d+)"
woothee	0.8.0	r"FreeBSD ([^;\)]+);"
woothee	0.8.0	r"CrOS ([^\)]+)\)"
woothee	0.8.0	r"Android[- ](\d+\.\d+(?:\.\d+)?)"
woothee	0.8.0	r"PSP \(PlayStation Portable\); ([.0-9]+)\)"
woothee	0.8.0	r"PLAYSTATION 3;? ([.0-9]+)\)"
woothee	0.8.0	r"PlayStation Vita ([.0-9]+)\)"
woothee	0.8.0	r"PlayStation 4 ([.0-9]+)\)"
woothee	0.8.0	r"BB10(?:.+)Version/([.0-9]+) "
woothee	0.8.0	r"BlackBerry(?:\d+)/([.0-9]+) "
woothee	0.8.0	r"; CPU(?: iPhone)? OS (\d+_\d+(?:_\d+)?) like Mac OS X"
woothee	0.8.0	r"Mac OS X (10[._]\d+(?:[._]\d+)?)(?:\)|;)"
woothee	0.8.0	r"^(?:Apache-HttpClient/|Jakarta Commons-HttpClient/|Java/)"
woothee	0.8.0	r"[- ]HttpClient(/|$)"
woothee	0.8.0	r"^(?:PHP|WordPress|CakePHP|PukiWiki|PECL::HTTP)(?:/| |$)"
woothee	0.8.0	r"(?:PEAR HTTP_Request|HTTP_Request)(?: class|2)"
woothee	0.8.0	r"(?:Rome Client |UnwindFetchor/|ia_archiver |Summify |PostRank/)"
woothee	0.8.0	r"Sleipnir/([.0-9]+)"
word_replace	0.0.3	r"@@[a-z|A-Z|\d]+@@"
wordcount	0.1.0	r"\w+"
just	0.3.8	"^([^=]+)=(.*)$"
emojicons	1.0.1	r":([a-zA-Z0-9_+-]+):"
git2_codecommit	0.1.2	r"git-codecommit\.([a-z0-9-]+)\.amazonaws\.com"
git-workarea	3.1.2	r"^submodule\.(?P<name>.*)\.(?P<key>[^=]*)=(?P<value>.*)$"
git-journal	1.6.2	r"[ \n]:(.*?):"
gitlab-api	0.6.0	r"private_token=\w{20}"
td-client	0.7.0	"^(http://|https://)"
katana	1.0.2	r"(?P<comp>et al\.)(?:\.)"
katana	1.0.2	r"\.{3}"
katana	1.0.2	r"(?P<number>[0-9]+)\.(?P<decimal>[0-9]+)"
katana	1.0.2	r"\s\.(?P<nums>[0-9]+)"
katana	1.0.2	r"(?:[A-Za-z]\.){2,}"
katana	1.0.2	r"(?P<init>[A-Z])(?P<point>\.)"
katana	1.0.2	r"(?P<title>[A-Z][a-z]{1,3})(\.)"
katana	1.0.2	r"&==&(?P<p>[.!?])"
katana	1.0.2	r"&\^&(?P<p>[.!?])"
katana	1.0.2	r"&\*\*&(?P<p>[.!?])"
katana	1.0.2	r"&=&(?P<p>[.!?])"
katana	1.0.2	r"&##&(?P<p>[.!?])"
katana	1.0.2	r"&\$&(?P<p>[.!?])"
kailua_syntax	1.1.0	r"@(?:_|\d+(?:/\d+(?:-\d+)?)?)"
kailua_syntax	1.1.0	r"<(\d+)>"
ftp	3.0.0	r"\((\d+),(\d+),(\d+),(\d+),(\d+),(\d+)\)"
ftp	3.0.0	r"\b(\d{4})(\d{2})(\d{2})(\d{2})(\d{2})(\d{2})\b"
ftp	3.0.0	r"\s+(\d+)\s*$"
vat	0.1.0	r"<countryCode>(.*?)</countryCode>"
vat	0.1.0	r"<vatNumber>(.*?)</vatNumber>"
vat	0.1.0	r"<name>(.*?)</name>"
vat	0.1.0	r"<address>(?s)(.*?)(?-s)</address>"
vat	0.1.0	r"<valid>(true|false)</valid>"
vat	0.1.0	r"^ATU\d{8}$"
vat	0.1.0	r"^BE0?\d{9, 10}$"
vat	0.1.0	r"^BG\d{9,10}$"
vat	0.1.0	r"^HR\d{11}$"
vat	0.1.0	r"^CY\d{8}[A-Z]$"
vat	0.1.0	r"^CZ\d{8,10}$"
vat	0.1.0	r"^DK\d{8}$"
vat	0.1.0	r"^EE\d{9}$"
vat	0.1.0	r"^FI\d{8}$"
vat	0.1.0	r"^FR[A-HJ-NP-Z0-9][A-HJ-NP-Z0-9]\d{9}$"
vat	0.1.0	r"^DE\d{9}$"
vat	0.1.0	r"^EL\d{9}$"
vat	0.1.0	r"^HU\d{8}$"
vat	0.1.0	r"^IE\d[A-Z0-9\+\*]\d{5}[A-Z]{1,2}$"
vat	0.1.0	r"^IT\d{11}$"
vat	0.1.0	r"^LV\d{11}$"
vat	0.1.0	r"^LT(\d{9}|\d{12})$"
vat	0.1.0	r"^LU\d{8}$"
vat	0.1.0	r"^MT\d{8}$"
vat	0.1.0	r"^NL\d{9}B\d{2}$"
vat	0.1.0	r"^PL\d{10}$"
vat	0.1.0	r"^PT\d{9}$"
vat	0.1.0	r"^RO\d{2,10}$"
vat	0.1.0	r"^SK\d{10}$"
vat	0.1.0	r"^SI\d{8}$"
vat	0.1.0	r"^ES[A-Z0-9]\d{7}[A-Z0-9]$"
vat	0.1.0	r"^SE\d{10}01$"
vat	0.1.0	r"^(GB(GD|HA)\d{3}|GB\d{9}|GB\d{12})$"
egc	0.1.2	"^mio"
mob	0.4.3	"y"
lit	0.2.7	"@([a-z]+)"
lit	0.2.7	"([A-Z-]+):(.*)"
lit	0.2.7	"^[a-zA-Z_][a-zA-Z0-9_]*$"
avm	1.0.1	r"\d+\.\d+\.\d+"
avm	1.0.1	r"\d+\.\d+\.\d+"
orm	0.2.0	r"^Vec<(.+)>$"
sgf	0.1.5	r"\\(\r\n|\n\r|\n|\r)"
sgf	0.1.5	r"\\(.)"
sgf	0.1.5	r"\r\n|\n\r|\n|\r"
sgf	0.1.5	r"([\]\\:])"
dok	0.2.0	"^Bearer realm=\"(.+?)\",service=\"(.+?)\",scope=\"(.+?)\"$"
d20	0.1.0	r"([+-]?\s*\d+[dD]\d+|[+-]?\s*\d+)"
dvb	0.3.0	"E"
dvb	0.3.0	"^F"
dvb	0.3.0	"^S"
ger	0.2.0	r"Change-Id: (I[a-f0-9]{40})$"
ger	0.2.0	r"(refs|ref|fix|fixes|close|closes)\s+([A-Z]{2,5}-[0-9]{1,5})$"
n5	0.1.0	r"(\d+)(\.(\d+))?(\.(\d+))?(.*)"
po	0.1.4	r"[A-Za-z0-9]"
carnix	0.6.6	r"^(\S*) (\d*)\.(\d*)\.(\d*)(-(\S*))?"
carnix	0.6.6	r"(\d*)\.(\d*)\.(\d*)(-(\S*))?"
caseless	0.2.0	r"^# CaseFolding-(\d+)\.(\d+)\.(\d+).txt$"
caseless	0.2.0	r"^([0-9A-F]+); [CF]; ([0-9A-F ]+);"
cabot	0.1.4	"\r?\n\r?\n"
cabot	0.1.4	"\r?\n"
card-validate	2.1.6	r"^600"
card-validate	2.1.6	r"^5019"
card-validate	2.1.6	r"^4"
card-validate	2.1.6	r"^(5[1-5]|2[2-7])"
card-validate	2.1.6	r"^3[47]"
card-validate	2.1.6	r"^3[0689]"
card-validate	2.1.6	r"^6([045]|22)"
card-validate	2.1.6	r"^(62|88)"
card-validate	2.1.6	r"^35"
card-validate	2.1.6	r"^[0-9]+$"
cargo-testify	0.2.0	r"\d{1,} passed.*filtered out"
cargo-testify	0.2.0	r"error(:|\[).*"
cargo-wix	0.0.2	r"<(.*?)>"
cargo-wix	0.0.2	r"<(.*?)>"
cargo-wix	0.0.2	r"<(.*?)>"
cargo-wix	0.0.2	r"<(.*?)>"
cargo-incremental	0.1.20	r"(?m)^incremental: re-using (\d+) out of (\d+) modules$"
cargo-incremental	0.1.20	r"(?m)^\s*Finished .* target\(s\) in ([0-9.]+) secs$"
cargo-incremental	0.1.20	"(?m)(warning|error): (.*)\n  --> ([^:]:\\d+:\\d+)$"
cargo-incremental	0.1.20	r"(?m)^test (.*) \.\.\. (\w+)"
cargo-incremental	0.1.20	r"(?m)(\d+) passed; (\d+) failed; (\d+) ignored; \d+ measured"
cargo-testjs	0.1.2	r"^[^-]+-[0-9a-f]+\.js$"
cargo-tarpaulin	0.5.6	r"\s*//\n"
cargo-tarpaulin	0.5.6	r"/\*"
cargo-tarpaulin	0.5.6	r"\*/"
cargo-screeps	0.0.1	"\\s+"
cargo-brew	0.1.4	r"`(\S+) v([0-9.]+)"
cargo-release	0.9.0	"^\\[.+\\]"
cargo-release	0.9.0	"^\\[\\[.+\\]\\]"
cargo-edit	0.3.0-beta.1	r"^https://github.com/([-_0-9a-zA-Z]+)/([-_0-9a-zA-Z]+)(/|.git)?$"
cargo-edit	0.3.0-beta.1	r"^https://gitlab.com/([-_0-9a-zA-Z]+)/([-_0-9a-zA-Z]+)(/|.git)?$"
cargo-demangle	0.1.2	r"(?m)(?P<symbol>_ZN[0-9]+.*E)"
cargo-coverage-annotations	0.1.5	r"^\s*\}(?:\)*;?|\s*else\s*\{)$"
cargo-urlcrate	1.0.1	"[\u{001b}\u{009b}][\\[()#;?]*(?:[0-9]{1,4}(?:;[0-9]{0,4})*)?[0-9A-PRZcf-nqry=><]"
cargo-script	0.2.8	r"^\s*\*( |$)"
cargo-script	0.2.8	r"^(\s+)"
cargo-script	0.2.8	r"/\*|\*/"
cargo-script	0.2.8	r"^\s*//!"
cargo-script	0.2.8	r"^#![^\[].*?(\r\n|\n)"
cargo-update	1.4.1	r"cargo-install-update\.exe-v.+"
canteen	0.4.1	r"^<(?:(int|uint|str|float|path):)?([\w_][a-zA-Z0-9_]*)>$"
codeowners	0.1.3	r"^@\S+/\S+"
codeowners	0.1.3	r"^@\S+"
codeowners	0.1.3	r"^\S+@\S+"
conserve	0.4.2	r"^b0000 {21} complete   20[-0-9T:+]+\s +\d+s\n$"
commodore	0.3.0	r"(?P<greeting>\S+?) (?P<name>\S+?)$"
corollary	0.3.0	r"([ \t]*)```haskell([\s\S]*?)```"
corollary	0.3.0	r"\b((?:a|b|t)\d*)\b"
colorizex	0.1.1	"NB"
colorstring	0.0.1	r"(?i)\[[a-z0-9_-]+\]"
colorstring	0.0.1	r"^(?i)(\[[a-z0-9_-]+\])+"
cobalt-bin	0.11.1	r"(?m:^ {0,3}\[[^\]]+\]:.+$)"
comrak	0.2.8	r"[^\p{L}\p{M}\p{N}\p{Pc} -]"
content-blocker	0.2.3	""
content-blocker	0.2.3	"(?i)hi"
content-blocker	0.2.3	"http[s]?://domain.org"
content-blocker	0.2.3	"(?i)http[s]?://domain.org"
content-blocker	0.2.3	"http://domain.org"
content-blocker	0.2.3	"http://domain.org"
content-blocker	0.2.3	"ad.html"
content-blocker	0.2.3	"ad.html"
content-blocker	0.2.3	"http://domain.org"
content-blocker	0.2.3	"http://domain.org/nocookies.sjs"
content-blocker	0.2.3	"http://domain.org/nocookies.sjs"
content-blocker	0.2.3	"http://domain.org/hideme.jpg"
content-blocker	0.2.3	"http://domain.org/ok.html"
content-blocker	0.2.3	"http://domain.org/ok.html\\?except_this=1"
victoria-dom	0.1.1	"[A-Za-z0-9=]"
numbat	1.0.0	r"^nsq://"
airkorea	0.1.2	r"[\s\t\r\n]"
airkorea	0.1.2	r"([\{\[,])|([\}\]])"
airkorea	0.1.2	r"[^.\d]+$"
rofl	0.0.1	r"\b"
rogcat	0.2.15	r"--------- beginning of.*"
rogcat	0.2.15	r"a|e|i|o|u"
rogcat	0.2.15	r"^(\d+)([kMG])$"
media_filename	0.1.4	"\\.([A-Za-z0-9]{2,4})$"
media_filename	0.1.4	"([0-9]{3,4}p|[0-9]{3,4}x[0-9]{3,4})"
media_filename	0.1.4	"(?:^\\[([^]]+)\\]|- ?([^-]+)$)"
media_filename	0.1.4	"(?:[eE]([0-9]{2,3})|[^0-9A-Za-z]([0-9]{2,3})(?:v[0-9])?[^0-9A-Za-z])"
media_filename	0.1.4	"[sS]([0-9]{1,2})"
media_filename	0.1.4	"((?i)(?:PPV.)?[HP]DTV|(?:HD)?CAM|BRRIP|[^a-z]TS[^a-z]|(?:PPV )?WEB.?DL(?: DVDRip)?|HDRip|DVDRip|CamRip|W[EB]BRip|BluRay|BD|DVD|DvDScr|hdtv)"
media_filename	0.1.4	"((19[0-9]|20[01])[0-9])"
media_filename	0.1.4	"((?i)xvid|x264|h\\.?264)"
media_filename	0.1.4	"((?i)MP3|DD5\\.?1|Dual[- ]Audio|LiNE|DTS|AAC(?:\\.?2\\.0)?|AC3(?:\\.5\\.1)?)"
media_filename	0.1.4	"\\[([0-9A-F]{8})\\]"
termimage	0.3.2	r"(\d+)[xX](\d+)"
teensy	0.1.0	r".*(\d{4}-\d{2}-\d{2}).*"
telescreen	0.1.3	r"<@(.+)>"
fselect	0.3.0	"(\\.|\\*|\\?|\\[|\\]|\\^|\\$)"
fselect	0.3.0	"(\\d{4})-(\\d{1,2})-(\\d{1,2}) ?(\\d{1,2})?:?(\\d{1,2})?:?(\\d{1,2})?"
fs_eventbridge	0.1.0	r"^([A-Z]+)(?:\s(.+))?\s*"
joseki	0.0.1	r"(\w{1,2})\[(.+?)\]"
tweetr	0.2.1	r"(?i)in (\d+) (second|minute|hour|day|week)s?"
bullet_core	0.1.1	"^(?u:[0-9])+"
bullet_core	0.1.1	"^(?u:[0-9])+(?u:\\.)(?u:[0-9])+"
bullet_core	0.1.1	"^(?u:[A-Za-zª-ªµ-µº-ºÀ-ÖØ-öø-ˁˆ-ˑˠ-ˤˬ-ˬˮ-ˮͰ-ʹͶ-ͷͺ-ͽͿ-ͿΆ-ΆΈ-ΊΌ-ΌΎ-ΡΣ-ϵϷ-ҁҊ-ԯԱ-Ֆՙ-ՙա-ևא-תװ-ײؠ-يٮ-ٯٱ-ۓە-ەۥ-ۦۮ-ۯۺ-ۼۿ-ۿܐ-ܐܒ-ܯݍ-ޥޱ-ޱߊ-ߪߴ-ߵߺ-ߺࠀ-ࠕࠚ-ࠚࠤ-ࠤࠨ-ࠨࡀ-ࡘࢠ-ࢴऄ-हऽ-ऽॐ-ॐक़-ॡॱ-ঀঅ-ঌএ-ঐও-নপ-রল-লশ-হঽ-ঽৎ-ৎড়-ঢ়য়-ৡৰ-ৱਅ-ਊਏ-ਐਓ-ਨਪ-ਰਲ-ਲ਼ਵ-ਸ਼ਸ-ਹਖ਼-ੜਫ਼-ਫ਼ੲ-ੴઅ-ઍએ-ઑઓ-નપ-રલ-ળવ-હઽ-ઽૐ-ૐૠ-ૡૹ-ૹଅ-ଌଏ-ଐଓ-ନପ-ରଲ-ଳଵ-ହଽ-ଽଡ଼-ଢ଼ୟ-ୡୱ-ୱஃ-ஃஅ-ஊஎ-ஐஒ-கங-சஜ-ஜஞ-டண-தந-பம-ஹௐ-ௐఅ-ఌఎ-ఐఒ-నప-హఽ-ఽౘ-ౚౠ-ౡಅ-ಌಎ-ಐಒ-ನಪ-ಳವ-ಹಽ-ಽೞ-ೞೠ-ೡೱ-ೲഅ-ഌഎ-ഐഒ-ഺഽ-ഽൎ-ൎൟ-ൡൺ-ൿඅ-ඖක-නඳ-රල-ලව-ෆก-ะา-ำเ-ๆກ-ຂຄ-ຄງ-ຈຊ-ຊຍ-ຍດ-ທນ-ຟມ-ຣລ-ລວ-ວສ-ຫອ-ະາ-ຳຽ-ຽເ-ໄໆ-ໆໜ-ໟༀ-ༀཀ-ཇཉ-ཬྈ-ྌက-ဪဿ-ဿၐ-ၕၚ-ၝၡ-ၡၥ-ၦၮ-ၰၵ-ႁႎ-ႎႠ-ჅჇ-ჇჍ-Ⴭა-ჺჼ-ቈቊ-ቍቐ-ቖቘ-ቘቚ-ቝበ-ኈኊ-ኍነ-ኰኲ-ኵኸ-ኾዀ-ዀዂ-ዅወ-ዖዘ-ጐጒ-ጕጘ-ፚᎀ-ᎏᎠ-Ᏽᏸ-ᏽᐁ-ᙬᙯ-ᙿᚁ-ᚚᚠ-ᛪᛱ-ᛸᜀ-ᜌᜎ-ᜑᜠ-ᜱᝀ-ᝑᝠ-ᝬᝮ-ᝰក-ឳៗ-ៗៜ-ៜᠠ-ᡷᢀ-ᢨᢪ-ᢪᢰ-ᣵᤀ-ᤞᥐ-ᥭᥰ-ᥴᦀ-ᦫᦰ-ᧉᨀ-ᨖᨠ-ᩔᪧ-ᪧᬅ-ᬳᭅ-ᭋᮃ-ᮠᮮ-ᮯᮺ-ᯥᰀ-ᰣᱍ-ᱏᱚ-ᱽᳩ-ᳬᳮ-ᳱᳵ-ᳶᴀ-ᶿḀ-ἕἘ-Ἕἠ-ὅὈ-Ὅὐ-ὗὙ-ὙὛ-ὛὝ-ὝὟ-ώᾀ-ᾴᾶ-ᾼι-ιῂ-ῄῆ-ῌῐ-ΐῖ-Ίῠ-Ῥῲ-ῴῶ-ῼⁱ-ⁱⁿ-ⁿₐ-ₜℂ-ℂℇ-ℇℊ-ℓℕ-ℕℙ-ℝℤ-ℤΩ-Ωℨ-ℨK-ℭℯ-ℹℼ-ℿⅅ-ⅉⅎ-ⅎↃ-ↄⰀ-Ⱞⰰ-ⱞⱠ-ⳤⳫ-ⳮⳲ-ⳳⴀ-ⴥⴧ-ⴧⴭ-ⴭⴰ-ⵧⵯ-ⵯⶀ-ⶖⶠ-ⶦⶨ-ⶮⶰ-ⶶⶸ-ⶾⷀ-ⷆⷈ-ⷎⷐ-ⷖⷘ-ⷞⸯ-ⸯ々-〆〱-〵〻-〼ぁ-ゖゝ-ゟァ-ヺー-ヿㄅ-ㄭㄱ-ㆎㆠ-ㆺㇰ-ㇿ㐀-䶵一-鿕ꀀ-ꒌꓐ-ꓽꔀ-ꘌꘐ-ꘟꘪ-ꘫꙀ-ꙮꙿ-ꚝꚠ-ꛥꜗ-ꜟꜢ-ꞈꞋ-ꞭꞰ-ꞷꟷ-ꠁꠃ-ꠅꠇ-ꠊꠌ-ꠢꡀ-ꡳꢂ-ꢳꣲ-ꣷꣻ-ꣻꣽ-ꣽꤊ-ꤥꤰ-ꥆꥠ-ꥼꦄ-ꦲꧏ-ꧏꧠ-ꧤꧦ-ꧯꧺ-ꧾꨀ-ꨨꩀ-ꩂꩄ-ꩋꩠ-ꩶꩺ-ꩺꩾ-ꪯꪱ-ꪱꪵ-ꪶꪹ-ꪽꫀ-ꫀꫂ-ꫂꫛ-ꫝꫠ-ꫪꫲ-ꫴꬁ-ꬆꬉ-ꬎꬑ-ꬖꬠ-ꬦꬨ-ꬮꬰ-ꭚꭜ-ꭥꭰ-ꯢ가-힣ힰ-ퟆퟋ-ퟻ豈-舘並-龎ﬀ-ﬆﬓ-ﬗיִ-יִײַ-ﬨשׁ-זּטּ-לּמּ-מּנּ-סּףּ-פּצּ-ﮱﯓ-ﴽﵐ-ﶏﶒ-ﷇﷰ-ﷻﹰ-ﹴﹶ-ﻼＡ-Ｚａ-ｚｦ-ﾾￂ-ￇￊ-ￏￒ-ￗￚ-ￜ𐀀-𐀋𐀍-𐀦𐀨-𐀺𐀼-𐀽𐀿-𐁍𐁐-𐁝𐂀-𐃺𐊀-𐊜𐊠-𐋐𐌀-𐌟𐌰-𐍀𐍂-𐍉𐍐-𐍵𐎀-𐎝𐎠-𐏃𐏈-𐏏𐐀-𐒝𐔀-𐔧𐔰-𐕣𐘀-𐜶𐝀-𐝕𐝠-𐝧𐠀-𐠅𐠈-𐠈𐠊-𐠵𐠷-𐠸𐠼-𐠼𐠿-𐡕𐡠-𐡶𐢀-𐢞𐣠-𐣲𐣴-𐣵𐤀-𐤕𐤠-𐤹𐦀-𐦷𐦾-𐦿𐨀-𐨀𐨐-𐨓𐨕-𐨗𐨙-𐨳𐩠-𐩼𐪀-𐪜𐫀-𐫇𐫉-𐫤𐬀-𐬵𐭀-𐭕𐭠-𐭲𐮀-𐮑𐰀-𐱈𐲀-𐲲𐳀-𐳲𑀃-𑀷𑂃-𑂯𑃐-𑃨𑄃-𑄦𑅐-𑅲𑅶-𑅶𑆃-𑆲𑇁-𑇄𑇚-𑇚𑇜-𑇜𑈀-𑈑𑈓-𑈫𑊀-𑊆𑊈-𑊈𑊊-𑊍𑊏-𑊝𑊟-𑊨𑊰-𑋞𑌅-𑌌𑌏-𑌐𑌓-𑌨𑌪-𑌰𑌲-𑌳𑌵-𑌹𑌽-𑌽𑍐-𑍐𑍝-𑍡𑒀-𑒯𑓄-𑓅𑓇-𑓇𑖀-𑖮𑗘-𑗛𑘀-𑘯𑙄-𑙄𑚀-𑚪𑜀-𑜙𑢠-𑣟𑣿-𑣿𑫀-𑫸𒀀-𒎙𒒀-𒕃𓀀-𓐮𔐀-𔙆𖠀-𖨸𖩀-𖩞𖫐-𖫭𖬀-𖬯𖭀-𖭃𖭣-𖭷𖭽-𖮏𖼀-𖽄𖽐-𖽐𖾓-𖾟𛀀-𛀁𛰀-𛱪𛱰-𛱼𛲀-𛲈𛲐-𛲙𝐀-𝑔𝑖-𝒜𝒞-𝒟𝒢-𝒢𝒥-𝒦𝒩-𝒬𝒮-𝒹𝒻-𝒻𝒽-𝓃𝓅-𝔅𝔇-𝔊𝔍-𝔔𝔖-𝔜𝔞-𝔹𝔻-𝔾𝕀-𝕄𝕆-𝕆𝕊-𝕐𝕒-𝚥𝚨-𝛀𝛂-𝛚𝛜-𝛺𝛼-𝜔𝜖-𝜴𝜶-𝝎𝝐-𝝮𝝰-𝞈𝞊-𝞨𝞪-𝟂𝟄-𝟋𞠀-𞣄𞸀-𞸃𞸅-𞸟𞸡-𞸢𞸤-𞸤𞸧-𞸧𞸩-𞸲𞸴-𞸷𞸹-𞸹𞸻-𞸻𞹂-𞹂𞹇-𞹇𞹉-𞹉𞹋-𞹋𞹍-𞹏𞹑-𞹒𞹔-𞹔𞹗-𞹗𞹙-𞹙𞹛-𞹛𞹝-𞹝𞹟-𞹟𞹡-𞹢𞹤-𞹤𞹧-𞹪𞹬-𞹲𞹴-𞹷𞹹-𞹼𞹾-𞹾𞺀-𞺉𞺋-𞺛𞺡-𞺣𞺥-𞺩𞺫-𞺻𠀀-𪛖𪜀-𫜴𫝀-𫠝𫠠-𬺡丽-𪘀])+"
